data_hora,autoriza_coleta,faixa_etaria,genero,escolaridade,area_conhecimento,regiao_df,trajeto,habilidade_tecnologia,frequencia_moovit,motivo_locomocao,tipo_transporte_moovit,tipo_informacao_importante_moovit,teve_problema_cronometragem_moovit,problema_precisao_grade_horaria_moovit,aplicacao_atende_necessidades,recomendou_moovit,nielsen_1_visibilidade_status,O aplicativo Moovit exibe informações claras sobre a disponibilidade e o tempo de espera dos meios de transporte público?,nielsen_7_eficiencia_eficacia,nielsen_2_correspondencia_mundo_real,nielsen_3_controle_liberdade,nielsen_7_eficiencia_flexibilidade,nielsen_4_consistencia_padronizacao,nielsen_6_reconhecimento,nielsen_5_prevencao,nielsen_6_reconhecimento,O Moovit fornece opções para personalizar as configurações e as rotas com base nas preferências do usuário?,Você consegue encontrar rotas que você utiliza com mais frequência com maior facilidade?,Como você classificaria o visual do Moovit?,"Quão rápido você consegue reconhecer, entender e resolver um problema no aplicativo?",Quão rápido você consegue encontrar uma ajuda ou documentação do aplicativo?,Você já perdeu o horário ou se atrasou por não entender as informações do aplicativo?,
14/06/2023 18:05:56,Concordo.,Entre 19 e 22 anos,Feminino,Médio Incompleto/Completo,,Sobradinho,"Sobradinho-> UnB UnB -> rodoviária -> sobradinho Sobradinho -> plano piloto",1,Diariamente,Estudo,Ônibus,Horários de transporte,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,2,1,1,1,Sim,
14/06/2023 18:06:45,Concordo.,Entre 19 e 22 anos,Masculino,Superior Incompleto,Engenharias,Taguatinga,Taguatinga <-> Gama,4,Diariamente,Estudo,Ônibus,Horários de transporte,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Talvez,Não,Não,Sim,5,5,4,3,Não,
14/06/2023 18:07:34,Concordo.,Entre 15 e 18 anos,Feminino,Superior Incompleto,Ciências Humanas,Brazlândia,"Brazlândia → Taguatinga, Taguatinga → Plano Piloto, Brazlândia → Plano Piloto ",4,Diariamente,Estudo,Ônibus,Rotas mais rápidas,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,5,4,5,3,Não,
14/06/2023 18:09:50,Concordo.,Entre 15 e 18 anos,Masculino,Superior Incompleto,Engenharias,Taguatinga,Taguatinga <-> gama ,5,Diariamente,Estudo,Ônibus,Tempo de espera,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,5,4,4,3,Não,
14/06/2023 18:11:08,Concordo.,Entre 19 e 22 anos,Masculino,Superior Incompleto,Engenharias,Taguatinga,Taguatinga Norte <-> Gama (UnB),5,Diariamente,Estudo,Ônibus,Tempo de espera,Sim,Sim,Talvez,Sim,Sim,Sim,Talvez,Sim,Não,Não,Sim,Não,Não,Não,Não,3,4,4,3,Não,
14/06/2023 18:14:25,Concordo.,Entre 15 e 18 anos,Masculino,Superior Incompleto,Engenharias,Guará,Guará -> Gama,5,Semanalmente,Estudo,Ônibus,Rotas mais rápidas,Sim,Sim,Talvez,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Talvez,Não,5,4,4,3,Sim,
14/06/2023 18:16:20,Concordo.,Entre 15 e 18 anos,Feminino,Médio Incompleto/Completo,,Águas Claras,"Águas Claras > Plano Piloto, Plano Piloto > Águas Claras",2,Diariamente,Estudo,Ônibus,Tempo de espera,Não,Sim,Talvez,Sim,Sim,Talvez,Sim,Sim,Não,Sim,Talvez,Sim,Não,Não,Sim,4,3,2,3,Sim,
14/06/2023 18:16:30,Concordo.,Entre 19 e 22 anos,Masculino,Superior Incompleto,Engenharias,Guará,Guará <-> Gama,5,Diariamente,Estudo,Ônibus,Tempo de espera,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,3,4,5,5,Não,Alguns ônibus como o 322.1 não aparecem a localização em tempo real e isso atrapalha muito a rota.
14/06/2023 18:18:00,Concordo.,Entre 19 e 22 anos,Masculino,Superior Incompleto,Engenharias,Não resido no Distrito Federal,Ocidental-> Gama,5,Diariamente,Trabalho,Ônibus,Horários de transporte,Sim,Sim,Talvez,Sim,Sim,Sim,Talvez,Sim,Não,Não,Sim,Sim,Não,Não,Talvez,5,4,4,3,Não,
14/06/2023 18:18:17,Concordo.,Entre 19 e 22 anos,Feminino,Superior Incompleto,"Linguística, Letras e Artes",Não resido no Distrito Federal,,3,Poucas vezes,Estudo,Ônibus,Tempo de espera,Sim,Sim,Talvez,Não,Sim,Talvez,Não,Talvez,Não,Não,Talvez,Talvez,Talvez,Sim,Talvez,3,3,3,3,Sim,
14/06/2023 18:19:25,Concordo.,Entre 15 e 18 anos,Feminino,Superior Incompleto,Engenharias,Gama,"Gama Leste -> Gama (FGA), Gama (FGA) <-> Gama Leste",5,Diariamente,Estudo,Ônibus,Tempo de espera,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,4,5,4,4,Não,
14/06/2023 18:19:51,Concordo.,Entre 19 e 22 anos,Masculino,Superior Incompleto,Engenharias,Plano Piloto,"Plano piloto <-> gama, plano piloto <->guará",4,Semanalmente,Estudo,Ônibus,Horários de transporte,Sim,Não,Talvez,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Talvez,Talvez,Não,Sim,3,2,4,3,Não,
14/06/2023 18:20:18,Concordo.,Entre 15 e 18 anos,Feminino,Médio Incompleto/Completo,,Gama,Circular ,5,Semanalmente,Estudo,Ônibus,Tempo de espera,Sim,Não,Sim,Sim,Não,Sim,Não,Talvez,Sim,Não,Sim,Sim,Não,Não,Talvez,5,3,4,3,Não,
14/06/2023 18:23:39,Concordo.,Entre 15 e 18 anos,Feminino,Médio Incompleto/Completo,,Ceilândia,Ceilandia Norte > Taguatinga Norte > Comercial Norte > Pistão Norte > Pistão Sul,4,Diariamente,Estudo,Ônibus,Rotas mais rápidas,Sim,Sim,Talvez,Sim,Sim,Talvez,Não,Sim,Não,Não,Sim,Sim,Talvez,Não,Sim,4,3,4,3,Não,
14/06/2023 18:26:22,Concordo.,Entre 15 e 18 anos,Feminino,Superior Incompleto,Engenharias,Águas Claras,"Águas claras-> Taguatinga, Taguatinga-> gama",4,Diariamente,Estudo,Ônibus,Horários de transporte,Sim,Sim,Talvez,Sim,Sim,Talvez,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Talvez,5,4,3,3,Sim,
14/06/2023 18:26:37,Concordo.,Entre 23 e 26 anos,Feminino,Superior Incompleto,"Linguística, Letras e Artes",Ceilândia,Ceilândia -> Plano Piloto e vice-versa.,1,Diariamente,Trabalho,Ônibus,Horários de transporte,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,5,4,4,4,Sim,
14/06/2023 18:29:47,Concordo.,Entre 15 e 18 anos,Feminino,Superior Incompleto,Engenharias,Jardim Botânico,"Jardins Mangueiral <-> Plano Piloto, Plano Piloto <-> UnB",4,Semanalmente,Estudo,Ônibus,Horários de transporte,Não,Não,Sim,Sim,Não,Não,Sim,Talvez,Sim,Não,Sim,Sim,Talvez,Não,Sim,4,4,4,3,Sim,
14/06/2023 18:30:45,Concordo.,Entre 19 e 22 anos,Masculino,Superior Incompleto,Engenharias,Itapoã,Itapoã <-> Asa Norte e Itapoã<-> Gama,1,Semanalmente,Estudo,Ônibus,Horários de transporte,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Talvez,5,3,4,2,Não,"Favor adicionar uma opção para que o usuário recuse a opção de assinar o Moovit +. Exibir um pop-up toda ou quase toda vez que o app é aberto contribui para a poluição da versão gratuita. Em vez disso, apenas abra o anúncio... Se torna algo mais direto e diminui a chateação de quem não tem interesse em assinar o plano Premium do app."
14/06/2023 18:34:20,Concordo.,Entre 23 e 26 anos,Feminino,Médio Incompleto/Completo,,Gama,Gama <-> Plano Piloto ,5,Diariamente,Trabalho,Ônibus,Horários de transporte,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,4,3,5,3,Sim,
14/06/2023 18:37:18,Concordo.,Entre 23 e 26 anos,Masculino,Superior Incompleto,Engenharias,Vicente Pires,"Vicente Pires <-> Plano Piloto, Plano Piloto <-> Gama. ",5,Diariamente,Estudo,Ônibus,Horários de transporte,Não,Sim,Talvez,Sim,Sim,Talvez,Não,Não,Não,Sim,Talvez,Talvez,Não,Não,Talvez,5,4,5,4,Não,
14/06/2023 18:38:08,Concordo.,Entre 19 e 22 anos,Masculino,Superior Incompleto,Ciências Exatas e da Terra,Paranoá,"Paranoá - > Plano Piloto - - > Gama Paranoá - >W3 Sul Paranoá - > L2 Norte",4,Semanalmente,Estudo,Ônibus,Horários de transporte,Sim,Sim,Sim,Sim,Talvez,Talvez,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,4,4,5,4,Não,
14/06/2023 18:38:43,Concordo.,Entre 15 e 18 anos,Feminino,Superior Incompleto,Engenharias,Gama,Gama <--> Asa Norte,5,Diariamente,Estudo,Ônibus,Horários de transporte,Não,Não,Sim,Sim,Talvez,Sim,Talvez,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,5,4,4,3,Não,
14/06/2023 18:39:31,Concordo.,Entre 15 e 18 anos,Feminino,Superior Incompleto,Engenharias,Ceilândia,Ceilândia <-> Gama,5,Diariamente,Estudo,Ônibus,Horários de transporte,Não,Sim,Talvez,Sim,Sim,Talvez,Sim,Sim,Talvez,Sim,Sim,Sim,Talvez,Não,Talvez,4,4,4,3,Não,
14/06/2023 18:41:34,Concordo.,Entre 19 e 22 anos,Feminino,Superior Incompleto,Engenharias,Santa Maria,"Santa Maria <-> Gama, Santa Maria <-> Plano Piloto",1,Semanalmente,Estudo,Ônibus,Rotas mais rápidas,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Talvez,Não,Não,Sim,Não,4,3,2,1,Sim,
14/06/2023 18:42:36,Concordo.,Entre 15 e 18 anos,Feminino,Médio Incompleto/Completo,,Não resido no Distrito Federal,Céu Azul <-> Plano Piloto ,5,Poucas vezes,Lazer,Ônibus,Horários de transporte,Sim,Sim,Sim,Sim,Sim,Sim,Talvez,Sim,Sim,Sim,Sim,Sim,Não,Talvez,Sim,5,5,3,4,Não,Melhorar os mapas por favor! Eles não são claros quando nós nos locomovemos.
14/06/2023 18:43:11,Concordo.,Entre 15 e 18 anos,Feminino,Superior Incompleto,Ciências Humanas,Ceilândia,"Ceilândia<-> Plano Ceilândia> Asa sul",1,Diariamente,Estudo,Ônibus,Horários de transporte,Sim,Sim,Talvez,Sim,Sim,Talvez,Sim,Talvez,Sim,Sim,Talvez,Não,Sim,Não,Sim,4,4,4,3,Sim,
14/06/2023 18:50:21,Concordo.,Entre 23 e 26 anos,Masculino,Superior Incompleto,Engenharias,Não resido no Distrito Federal,Gama oeste - BRT Gama,5,Diariamente,Estudo,Ônibus,Horários de transporte,Sim,Sim,Sim,Sim,Talvez,Sim,Sim,Sim,Sim,Não,Sim,Talvez,Não,Não,Sim,4,4,3,2,Sim,
14/06/2023 18:52:30,Concordo.,Entre 19 e 22 anos,Feminino,Superior Incompleto,Engenharias,Não resido no Distrito Federal,Santa Maria <-> Gama,1,Diariamente,Trabalho,Ônibus,Horários de transporte,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Talvez,Não,Talvez,Sim,Não,Não,Não,5,5,5,3,Não,
